#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
92,Codeforces Round 411 (Div. 1),May/04/2017 17:50,241,3,-9,2146,Master
93,"Codeforces Round 412 (rated, Div. 1, based on VK Cup 2017 Round 3)",May/07/2017 18:45,244,2,-44,2102,Master
94,"Playrix Codescapes Cup (Codeforces Round 413, rated, Div. 1 + Div. 2)",May/11/2017 18:35,229,4,37,2139,Master
95,Codeforces Round 419 (Div. 1),Jun/17/2017 17:35,129,2,63,2202,Master
96,"Codeforces Round 432 (Div. 1, based on IndiaHacks Final Round 2017)",Sep/04/2017 17:35,156,2,-11,2191,Master
97,Good Bye 2018,Dec/30/2018 17:35,462,4,9,2200,Master
98,Codeforces Round 534 (Div. 1),Jan/22/2019 17:35,74,2,85,2285,Master
99,Codeforces Round 542 [Alex Lopashev Thanks-Round] (Div. 1),Feb/24/2019 18:35,89,4,29,2314,International Master
100,Codeforces Round 559 (Div. 1),May/12/2019 17:35,327,1,-99,2215,Master
101,Codeforces Global Round 3,Jun/01/2019 17:35,69,5,120,2335,International Master
102,Codeforces Round 564 (Div. 1),Jun/07/2019 15:05,95,3,34,2369,International Master
103,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",Aug/25/2019 17:35,120,5,38,2407,Grandmaster
104,Codeforces Global Round 5,Oct/16/2019 17:35,251,4,-4,2403,Grandmaster
105,Codeforces Round 601 (Div. 1),Nov/19/2019 17:35,161,4,-8,2395,International Master
106,"Codeforces Round 606 (Div. 1, based on Technocup 2020 Elimination Round 4)",Dec/14/2019 14:05,101,3,30,2425,Grandmaster
107,Codeforces Round 609 (Div. 1),Dec/21/2019 14:05,39,3,89,2514,Grandmaster
108,Hello 2020,Jan/04/2020 15:05,194,5,-1,2513,Grandmaster
109,Codeforces Round 612 (Div. 1),Jan/05/2020 17:05,129,3,2,2515,Grandmaster
110,Codeforces Round 614 (Div. 1),Jan/19/2020 16:35,666,2,-139,2376,International Master
111,Codeforces Round 616 (Div. 1),Feb/02/2020 17:05,268,3,-28,2348,International Master
112,"Codeforces Round 626 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,273,2,-23,2325,International Master
113,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,59,4,127,2452,Grandmaster
114,Codeforces Round 635 (Div. 1),Apr/15/2020 17:35,415,3,-44,2408,Grandmaster
115,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,958,1,-124,2284,Master
116,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,142,4,73,2357,International Master
117,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,88,3,90,2447,Grandmaster
118,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,287,2,-23,2424,Grandmaster
119,Codeforces Global Round 10,Aug/16/2020 17:35,250,6,4,2428,Grandmaster
120,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,427,3,-53,2375,International Master
121,Codeforces Global Round 11,Oct/10/2020 17:50,1012,3,-81,2294,Master
122,"Codeforces Round 679 (Div. 1, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,103,3,91,2385,International Master
123,Codeforces Round 691 (Div. 1),Dec/19/2020 12:35,89,3,67,2452,Grandmaster
124,Codeforces Global Round 13,Feb/28/2021 16:35,84,6,94,2546,Grandmaster
125,"Codeforces Round 707 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,131,2,-7,2539,Grandmaster
126,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,316,5,-24,2515,Grandmaster
127,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,193,3,-19,2496,Grandmaster
128,Codeforces Round 789 (Div. 1),May/08/2022 17:35,167,4,-1,2495,Grandmaster
129,Codeforces Global Round 21,Jun/25/2022 17:35,272,5,-10,2485,Grandmaster
130,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,37,3,121,2606,International Grandmaster
131,Hello 2023,Jan/03/2023 17:35,403,5,-64,2542,Grandmaster
132,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,273,5,-25,2517,Grandmaster
